上海坤亿信息技术有限公司,上海,10k-20k,本科
深圳前海大道金融服务有限公司,深圳,10k-20k,本科
深圳华锐金融技术股份有限公司,上海,15k-25k,本科
奥解思信息科技（上海）有限公司,上海,12k-20k,本科
北京多来点信息技术有限公司,北京,12k-20k,本科
深圳市博奥特科技有限公司,深圳,12k-17k,本科
中企云链（北京）金融信息服务有限公司,北京,13k-25k,本科
微脉技术有限公司,杭州,15k-25k,本科
慧博云通科技股份有限公司,广州,15k-26k,本科
用友网络科技股份有限公司,北京,12k-24k,本科
北京领航百纳文化传媒有限公司,上海,18k-32k,本科
公司名称,城市,薪资,学历
上海喔趣信息科技有限公司,无锡,10k-15k,大专
建顺信息科技（广州）有限公司,广州,10k-15k,本科
建顺信息科技（广州）有限公司,广州,10k-14k,大专
上海源犀信息科技有限公司,南京,8k-15k,本科
前锦网络信息技术（上海）有限公司,上海,12k-16k,本科
亚创（上海）工程技术有限公司,上海,8k-15k,本科
杭州博彦信息技术有限公司,杭州,9k-14k,大专
上海海万信息科技股份有限公司,上海,9k-16k,本科
彩讯科技股份有限公司,深圳,12k-15k,本科
上海陟明信息技术有限责任公司,上海,9k-14k,本科
珠海赞同科技有限公司,广州,10k-15k,本科
北京夜神数娱科技有限公司,北京,10k-15k,本科
深圳市汇合发展有限公司,深圳,11k-15k,本科
上海中软华腾软件系统有限公司,西安,8k-13k,本科
浙江网新恒天软件有限公司,上海,10k-14k,本科
公司名称,城市,薪资,学历
浙江吉利控股集团有限公司,杭州,15k-25k,本科
中电领航（北京）信息咨询有限公司,北京,11k-17k,本科
泰为信息科技（上海）有限公司,上海,18k-25k,本科
物界（上海）科技有限公司,深圳,10k-20k,本科
杭州涂鸦信息技术有限公司,杭州,15k-26k,本科
安克创新科技股份有限公司,深圳,12k-20k,大专
深圳虾皮信息科技有限公司,深圳,15k-30k,本科
格尔软件股份有限公司,上海,15k-25k,本科
深圳虾皮信息科技有限公司,深圳,20k-40k,本科
Foris Limited,深圳,20k-35k,本科
畅捷通信息技术股份有限公司,北京,15k-30k,本科
软视视频软件（杭州）有限公司,杭州,12k-24k,本科
成都易我科技开发有限责任公司,成都,12k-15k,本科
北京江融信科技有限公司,北京,17k-24k,本科
广州柏视医疗科技有限公司,广州,15k-23k,本科
公司名称,城市,薪资,学历
上海华钦信息科技股份有限公司,上海,15k-25k,本科
上海蚁众企业管理咨询有限公司,上海,10k-15k,本科
北京小米科技有限责任公司,北京,23k-45k,本科
上海沃点网络科技有限公司,上海,10k-18k,本科
上海华钦信息科技股份有限公司,上海,12k-20k,本科
家有学霸（杭州）科技有限公司,杭州,4k-6k,本科
奥解思信息科技（上海）有限公司,上海,15k-20k,本科
深圳市炽火网络科技有限公司,深圳,15k-25k,大专
武汉小安科技有限公司,武汉,10k-15k,本科
奥解思信息科技（上海）有限公司,上海,12k-20k,本科
北京多来点信息技术有限公司,北京,12k-20k,本科
北京联龙博通电子商务技术有限公司,深圳,9k-12k,本科
深圳市晨北科技有限公司,重庆,10k-14k,本科
中企云链（北京）金融信息服务有限公司,北京,13k-25k,本科
上海赛连信息科技有限公司,西安,10k-20k,本科
公司名称,城市,薪资,学历
中电领航（北京）信息咨询有限公司,北京,11k-17k,本科
泰为信息科技（上海）有限公司,上海,18k-25k,本科
格尔软件股份有限公司,上海,15k-25k,本科
Foris Limited,深圳,20k-35k,本科
畅捷通信息技术股份有限公司,北京,15k-30k,本科
软视视频软件（杭州）有限公司,杭州,12k-24k,本科
北京江融信科技有限公司,北京,17k-24k,本科
上海阅文信息技术有限公司,上海,15k-30k,本科
上海华钦信息科技股份有限公司,上海,15k-25k,本科
奥解思信息科技（上海）有限公司,上海,15k-20k,本科
杭州涂鸦信息技术有限公司,杭州,13k-20k,本科
家有学霸（杭州）科技有限公司,杭州,4k-6k,本科
奥解思信息科技（上海）有限公司,上海,12k-20k,本科
上海华钦信息科技股份有限公司,上海,12k-20k,本科
北京多来点信息技术有限公司,北京,12k-20k,本科
公司名称,城市,薪资,学历
中电领航（北京）信息咨询有限公司,北京,11k-17k,本科
贝壳金科控股有限公司,北京,20k-40k,本科
泰为信息科技（上海）有限公司,上海,18k-25k,本科
西安瑞蓝创软件科技有限公司,西安,7k-10k,本科
格尔软件股份有限公司,上海,15k-25k,本科
杭州涂鸦信息技术有限公司,杭州,13k-26k,本科
北京探真科技有限公司,成都,18k-28k,本科
江苏满运软件科技有限公司,南京,20k-30k,本科
北京趣拿软件科技有限公司,北京,20k-35k,本科
Foris Limited,深圳,20k-35k,本科
畅捷通信息技术股份有限公司,北京,15k-30k,本科
软视视频软件（杭州）有限公司,杭州,12k-24k,本科
北京融七牛信息技术有限公司,北京,20k-35k,本科
北京三快在线科技有限公司,上海,20k-40k,本科
北京三快在线科技有限公司,北京,20k-40k,本科
公司名称,城市,薪资,学历
上海华钦信息科技股份有限公司,上海,15k-25k,本科
阳光保险集团股份有限公司,北京,18k-36k,本科
家有学霸（杭州）科技有限公司,杭州,4k-6k,本科
北京瑞友科技股份有限公司,上海,15k-30k,本科
慧科讯业（北京）网络科技有限公司,北京,20k-30k,本科
北京格上富信基金销售有限公司,北京,10k-20k,本科
杭州有赞科技有限公司,杭州,20k-35k,不限
杭州涂鸦信息技术有限公司,杭州,13k-26k,本科
北京石头世纪科技股份有限公司,北京,15k-25k,本科
上海莉莉丝科技股份有限公司,上海,15k-25k,不限
奥解思信息科技（上海）有限公司,上海,15k-20k,本科
