北京启明星辰信息安全技术有限公司,北京,12k-14k,本科
携程计算机技术（上海）有限公司,上海,20k-30k,本科
武汉高德智感科技有限公司,武汉,8k-12k,本科
前锦网络信息技术（上海）有限公司北京分公司,北京,20k-35k,本科
北京卡路里科技有限公司,北京,15k-30k,不限
仟之游软件科技（成都）有限公司,成都,8k-15k,本科
北京小唱科技有限公司,北京,15k-25k,本科
公司名称,城市,薪资,学历
北京小唱科技有限公司,北京,15k-25k,本科
腾讯科技（深圳）有限公司,深圳,16k-32k,本科
大连秦恒科技发展有限公司,成都,8k-10k,本科
杭州群核信息技术有限公司,上海,15k-30k,本科
亿达信息技术有限公司,深圳,8k-9k,大专
北京密境和风科技有限公司,北京,15k-30k,本科
北京蓝城兄弟信息技术有限公司,北京,15k-30k,本科
上海华钦信息科技股份有限公司,天津,15k-30k,本科
上海中软华腾软件系统有限公司,北京,9k-12k,本科
北京才如大海科技有限公司,北京,20k-30k,本科
珠海凡泰极客科技有限责任公司,深圳,8k-15k,本科
珠海凡泰极客科技有限责任公司,广州,8k-15k,本科
北京智城联合科技发展有限公司,北京,8k-10k,本科
深圳虾皮信息科技有限公司,深圳,20k-40k,本科
泰为信息科技（上海）有限公司,上海,30k-35k,本科
公司名称,城市,薪资,学历
上海中软华腾软件系统有限公司,北京,9k-12k,本科
北京才如大海科技有限公司,北京,20k-30k,本科
深圳虾皮信息科技有限公司,深圳,15k-30k,本科
北京智城联合科技发展有限公司,北京,8k-10k,本科
泰为信息科技（上海）有限公司,上海,30k-35k,本科
上海收钱吧互联网科技股份有限公司,苏州,15k-28k,本科
上海可那信息科技有限公司,上海,15k-30k,本科
杭州群核信息技术有限公司,佛山,18k-30k,本科
宁夏博信通科技有限公司,南京,8k-11k,本科
深圳市晨北科技有限公司,深圳,15k-30k,本科
北京清众教育科技有限公司,北京,8k-13k,本科
深圳市工之易科技有限公司,深圳,15k-25k,本科
深圳虾皮信息科技有限公司,深圳,20k-40k,本科
北京金山办公软件股份有限公司,武汉,20k-35k,本科
重庆谊品弘科技有限公司,南京,15k-25k,本科
